,Annual Return,Annual Volatility,Sharpe,Beta,Alpha,Treynor
KO,0.09173046951100343,0.16738275739904251,0.2791832936507159,0.5613858554150442,0.006452373998725017,0.08324126634158716
PG,0.10239802892362868,0.15664160911336897,0.366429004710281,0.35985771633824026,0.031579096491164665,0.15950200959336572
WMT,0.10337754711760075,0.18986907361578098,0.30746211589852457,0.46332254625827696,0.02513526003256919,0.12599763941782893
COST,0.19526180388768902,0.2082339631011375,0.7216008457501627,0.7881294318516014,0.09371539783567465,0.19065625240599074
JNJ,0.0923602982554521,0.161539118424085,0.2931816065203363,0.5029825247176429,0.011272502355061761,0.09415893381591843
UNH,0.2225819950015238,0.20592088542906511,0.8623797174895921,0.6828026164723372,0.12859253661559136,0.26007808218280065
ABT,0.14244292267775432,0.2068548164530605,0.4710691505695062,0.7931050261733739,0.04053952960622459,0.1228625711123071
NEE,0.16288780042358167,0.1956377995908838,0.6025819175543157,0.3898446433569729,0.08991737753418894,0.30239687124707826
XOM,0.11439871565905224,0.2873891398009968,0.24147995191157026,0.9752784814149413,-0.0005751881124608366,0.07115784566308493
CVX,0.138255658075693,0.2869208334212468,0.3250222612408853,1.0973263236049773,0.014525112865176534,0.08498443541327438
PFE,0.10252931186949618,0.2334919387400912,0.24638671544688429,0.6495360253704513,0.01092665201232082,0.08856985543901952
CMCSA,0.09208190030123839,0.2447776835368892,0.19234555871651968,1.040858873961702,-0.027597240143504106,0.04523370216563168
PEP,0.11729116103201373,0.15712426023221443,0.4600891098877691,0.5602003684518319,0.03209812138046328,0.129045186513885
LLY,0.2323347141594989,0.24065142298954456,0.7784483957430742,0.26840859263172134,0.16807703813140606,0.6979460393674414
COP,0.1722784501953661,0.4032473165019171,0.31563371902751647,1.2726198688235042,0.03597101141175138,0.10001293655192646
DIS,0.061923806150868885,0.2940714287030538,0.05754998445618508,1.2686436709497528,-0.07409834992355417,0.01334007849359238
